StartupName,Industry,Country,FoundedYear,FundingStage,TotalFunding_M,EmployeeCount,Revenue_M,GrowthRate,Valuation_B
Startup_334,Biotech,Germany,2012,Seed,674.55,1840,148.92,56.48,1.25
Startup_335,Gaming,Australia,2019,IPO,1310.69,4171,586.05,81.62,2.89
Startup_336,SpaceTech,France,2019,Seed,991.59,2226,554.13,85.67,2.53
Startup_337,E-commerce,Israel,2015,Series B,382.01,1787,392.05,26.01,1.3
Startup_338,E-commerce,Australia,2010,Series A,1481.63,3704,755.3,8.75,3.04
Startup_339,SpaceTech,UK,2013,Series C,1061.31,300,740.27,22.15,2.65
Startup_340,Logistics,Germany,2019,Seed,856.24,2307,732.48,8.22,2.36
Startup_341,Robotics,Germany,2015,IPO,1049.16,2242,238.58,92.82,1.99
Startup_342,Cybersecurity,India,2023,Series D,1456.88,1635,755.47,50.05,3.22
Startup_343,Mobility,Netherlands,2019,Series D,1294.44,2841,675.79,35.31,2.82
Startup_344,AI,Canada,2012,Seed,1245.08,4886,30.57,61.65,1.61
Startup_345,Cybersecurity,Israel,2017,IPO,352.71,2579,97.33,12.31,0.61
Startup_346,Robotics,Canada,2023,Seed,1047.47,1946,272.56,73.85,1.96
Startup_347,InsurTech,Netherlands,2011,Seed,107.38,4436,252.92,56.25,0.89
Startup_348,AI,Germany,2019,Seed,1188.18,4733,255.68,64.46,2.02
Startup_349,FoodTech,Canada,2019,IPO,1330.11,1777,493.07,27.13,2.45
Startup_350,Logistics,Israel,2015,Series D,46.36,508,696.21,7.02,1.47
Startup_351,Robotics,India,2011,Series B,1313.31,4080,423.62,94.21,2.63
Startup_352,HealthTech,Germany,2015,Series C,1200.19,2078,798.35,38.32,2.99
Startup_353,CleanTech,Singapore,2019,Seed,1153.11,3376,322.14,50.59,2.05
Startup_354,Biotech,India,2014,IPO,944.98,3195,699.07,98.49,2.84
Startup_355,CleanTech,France,2012,Series A,1154.73,3789,334.8,45.03,2.05
Startup_356,ClimateTech,India,2014,Series B,1109.0,1193,191.78,15.5,1.57
Startup_357,HealthTech,Australia,2014,IPO,538.39,1557,230.5,33.15,1.17
Startup_358,HealthTech,Australia,2011,Series A,358.08,978,34.63,6.7,0.46
Startup_359,Mobility,Germany,2021,Series B,1481.71,4673,342.79,41.51,2.37
Startup_360,ClimateTech,Israel,2018,Series A,1022.67,2045,175.38,95.25,1.85
Startup_361,Fintech,Singapore,2010,Series B,1181.65,3436,72.44,44.67,1.55
Startup_362,AgriTech,Canada,2021,Series C,1319.89,756,755.84,49.4,3.08
Startup_363,Fintech,Canada,2016,Seed,923.98,4970,134.46,99.16,1.69
Startup_364,Fintech,Australia,2010,Series D,355.19,1945,754.24,66.72,2.2
Startup_365,Robotics,France,2018,Series D,915.53,2236,410.64,26.91,1.87
Startup_366,Blockchain,Australia,2021,Series B,273.03,2902,177.17,22.71,0.74
Startup_367,FoodTech,UK,2013,IPO,1171.58,2364,280.75,10.5,1.79
Startup_368,E-commerce,India,2013,Series C,1453.96,4754,707.14,93.14,3.33
Startup_369,HealthTech,USA,2015,Series A,1492.41,3801,139.94,42.64,1.99
Startup_370,PropTech,USA,2015,Series C,1139.78,227,557.12,19.62,2.35
Startup_371,PropTech,Germany,2018,Series C,1225.59,2369,180.33,26.26,1.72
Startup_372,SpaceTech,India,2022,Series D,810.09,3148,474.76,60.11,2.06
Startup_373,EdTech,Canada,2013,Series D,146.32,3189,702.09,30.23,1.7
Startup_374,SaaS,France,2019,Seed,202.98,961,711.11,95.79,2.1
Startup_375,AI,Germany,2015,Series A,1294.57,985,647.8,67.25,2.93
Startup_376,Logistics,Australia,2012,Series C,830.78,2627,70.5,43.8,1.19
Startup_377,CleanTech,Canada,2013,Series C,565.31,4023,208.54,73.72,1.35
Startup_378,HealthTech,Israel,2018,IPO,748.85,3234,65.76,25.92,1.01
Startup_379,ClimateTech,UK,2018,Series B,1028.06,1117,61.83,85.86,1.58
Startup_380,SaaS,Netherlands,2011,Seed,747.77,3238,384.99,61.28,1.82
Startup_381,HealthTech,USA,2014,Series D,1238.77,1184,278.9,69.41,2.14
Startup_382,Fintech,India,2021,Series D,852.94,2746,214.36,88.47,1.72
Startup_383,Biotech,Israel,2016,Seed,1198.16,1939,527.1,85.81,2.68
Startup_384,EdTech,Netherlands,2012,Seed,1302.27,3711,566.98,84.52,2.86
Startup_385,PropTech,UK,2017,Series B,1049.23,3815,544.43,63.77,2.46
Startup_386,SaaS,Canada,2012,IPO,1131.55,2658,127.73,88.68,1.83
Startup_387,ClimateTech,Israel,2015,Series C,1309.05,2895,24.37,83.45,1.78
Startup_388,FoodTech,USA,2023,Seed,202.02,3020,268.76,75.63,1.12
Startup_389,Biotech,India,2018,Series B,249.53,2059,654.56,84.05,1.98
Startup_390,AI,Canada,2020,Series A,766.13,863,6.1,32.27,0.94
Startup_391,InsurTech,Australia,2014,Series B,929.22,2082,784.97,65.02,2.82
Startup_392,EdTech,Israel,2022,Series D,397.11,3513,507.57,56.3,1.69
Startup_393,CleanTech,Netherlands,2020,Series C,1171.97,1814,86.48,77.3,1.73
Startup_394,AgriTech,Australia,2019,Series B,816.49,212,770.43,37.48,2.54
Startup_395,CleanTech,Netherlands,2022,Series A,952.61,929,745.69,14.74,2.52
Startup_396,Gaming,Australia,2022,Seed,1406.47,4230,550.62,11.44,2.56
Startup_397,EdTech,UK,2011,Series D,458.44,409,566.83,11.4,1.65
Startup_398,AI,Germany,2018,Series A,877.43,1459,277.36,63.99,1.75
Startup_399,Mobility,Israel,2021,IPO,78.16,4795,697.36,97.48,1.96
Startup_400,Cybersecurity,Israel,2014,Series D,1453.63,3943,599.97,17.36,2.74
Startup_401,Mobility,Netherlands,2023,Seed,1139.81,2685,20.64,7.1,1.22
Startup_402,PropTech,USA,2013,Seed,492.18,2451,391.43,78.19,1.67
Startup_403,EdTech,UK,2018,Series C,1028.11,2040,357.28,30.99,1.9
Startup_404,Mobility,Netherlands,2019,Series B,1495.72,2714,341.52,47.88,2.42
Startup_405,SaaS,Canada,2010,Series B,253.8,3305,636.05,70.9,1.88
Startup_406,CleanTech,USA,2019,Series D,338.95,4290,66.82,69.65,0.82
Startup_407,CleanTech,Israel,2011,Series C,985.22,322,219.33,95.33,1.9
Startup_408,Cybersecurity,USA,2017,Series D,235.08,2419,346.44,94.64,1.4
Startup_409,SpaceTech,Netherlands,2021,Series C,635.39,4723,511.18,42.77,1.87
Startup_410,InsurTech,India,2010,IPO,418.58,4071,787.2,43.89,2.21
Startup_411,InsurTech,UK,2018,Series D,1342.21,2861,184.73,25.24,1.84
Startup_412,HealthTech,Israel,2017,Series C,56.39,1287,521.68,40.01,1.3
Startup_413,E-commerce,Singapore,2017,Series D,1297.89,3023,379.09,96.98,2.54
Startup_414,Gaming,UK,2012,Series B,286.43,4549,695.03,78.78,2.07
Startup_415,Cybersecurity,Netherlands,2014,Series C,1158.67,207,675.98,77.3,2.9
Startup_416,SpaceTech,India,2017,Series C,943.07,1295,105.86,8.09,1.2
Startup_417,AgriTech,Israel,2019,Series D,1382.06,4660,493.7,80.67,2.77
Startup_418,InsurTech,UK,2013,Series D,727.47,1849,94.73,16.89,1.0
Startup_419,ClimateTech,USA,2011,Series C,1031.49,839,344.81,24.05,1.84
Startup_420,Mobility,Israel,2023,Series B,742.48,3806,52.3,60.29,1.15
Startup_421,Logistics,UK,2010,IPO,410.8,2307,638.25,34.48,1.86
Startup_422,HealthTech,Netherlands,2010,Series C,688.28,2452,10.28,11.88,0.77
Startup_423,SpaceTech,Germany,2023,Series A,594.82,1476,384.47,62.0,1.67
Startup_424,EdTech,UK,2022,Series B,444.58,2438,556.29,86.71,1.99
Startup_425,ClimateTech,France,2018,IPO,1171.98,1578,32.66,50.65,1.49
Startup_426,EdTech,Israel,2019,IPO,166.35,849,194.39,98.73,1.05
Startup_427,PropTech,UK,2020,Seed,222.32,2005,399.61,63.72,1.34
Startup_428,Blockchain,Israel,2016,Series C,1056.67,652,448.16,5.93,1.98
Startup_429,Gaming,India,2011,Series D,496.43,3051,414.65,13.35,1.39
Startup_430,Blockchain,Australia,2011,Series B,532.43,2973,27.53,12.46,0.65
Startup_431,Mobility,Canada,2019,Series D,601.42,3811,107.04,58.92,1.11
Startup_432,Robotics,India,2023,Series D,1037.3,1275,640.67,24.01,2.44
Startup_433,CleanTech,Canada,2023,Series B,259.55,2702,84.55,65.46,0.76
Startup_434,Cybersecurity,Singapore,2014,Series B,1062.65,4697,26.24,93.94,1.58
Startup_435,InsurTech,Canada,2013,Series C,87.44,4111,433.5,72.36,1.32
Startup_436,E-commerce,UK,2018,IPO,1307.74,2441,571.56,81.16,2.86
Startup_437,InsurTech,Canada,2020,Seed,515.78,1342,652.05,12.61,1.88
Startup_438,ClimateTech,Netherlands,2014,Series C,1343.28,985,438.53,82.64,2.63
Startup_439,SaaS,France,2010,IPO,683.95,939,515.22,55.01,1.99
Startup_440,E-commerce,UK,2011,IPO,1100.07,4082,66.22,10.73,1.29
Startup_441,InsurTech,Germany,2011,Seed,378.18,683,128.48,87.82,1.07
Startup_442,Gaming,Israel,2016,Seed,336.63,4686,780.72,37.01,2.08
Startup_443,EdTech,Singapore,2019,Series B,281.36,2212,631.97,67.58,1.88
Startup_444,E-commerce,Israel,2014,Series C,752.31,1817,444.74,73.32,2.01
Startup_445,SpaceTech,Singapore,2011,Series C,350.4,311,797.07,97.61,2.43
Startup_446,CleanTech,Canada,2010,Series B,978.99,3174,160.43,69.62,1.65
Startup_447,Logistics,France,2012,Series C,117.58,161,25.49,29.48,0.32
Startup_448,FoodTech,India,2020,Series D,699.31,2369,694.75,74.08,2.46
Startup_449,CleanTech,Israel,2017,Series D,1116.63,1393,340.97,37.86,1.99
Startup_450,AgriTech,India,2019,Series C,562.85,4893,790.13,8.81,2.19
Startup_451,HealthTech,Singapore,2019,Seed,1301.88,1774,463.36,46.67,2.46
Startup_452,CleanTech,Netherlands,2014,Series C,1090.63,3994,389.85,87.98,2.31
Startup_453,Gaming,Singapore,2021,Series B,1352.05,2919,337.96,31.3,2.18
Startup_454,Blockchain,UK,2021,Series A,892.6,3890,729.98,25.01,2.48
Startup_455,InsurTech,France,2016,Series D,938.22,4538,505.62,74.65,2.32
Startup_456,Gaming,Germany,2013,Series B,206.04,1544,572.94,91.36,1.81
Startup_457,Logistics,Germany,2017,Seed,277.73,3846,190.8,97.28,1.15
Startup_458,Mobility,Canada,2020,Series A,279.66,551,683.65,51.77,1.91
Startup_459,Gaming,Canada,2018,Series C,378.37,4667,696.73,47.3,2.01
Startup_460,E-commerce,Germany,2010,Seed,777.08,3792,288.03,61.33,1.66
Startup_461,Robotics,Israel,2014,Series A,253.65,880,313.47,97.09,1.37
Startup_462,SpaceTech,Singapore,2015,Series B,394.62,4717,525.73,35.89,1.63
Startup_463,InsurTech,Singapore,2018,Series C,1162.47,3352,105.57,97.13,1.86
Startup_464,CleanTech,Australia,2012,Series C,686.15,2676,189.6,11.98,1.13
Startup_465,Robotics,Australia,2011,IPO,262.94,4937,416.3,37.02,1.28
Startup_466,Logistics,France,2015,Seed,1245.04,3288,345.28,28.63,2.08
Startup_467,Biotech,UK,2022,Series D,929.55,1085,565.71,20.87,2.17
Startup_468,Gaming,Canada,2013,Series B,259.75,1431,30.3,74.96,0.7
Startup_469,SpaceTech,USA,2016,Series C,999.07,1646,380.23,85.2,2.19
Startup_470,AI,Australia,2014,Seed,1210.45,1217,468.7,87.49,2.59
Startup_471,EdTech,France,2019,Series C,316.7,755,90.42,30.63,0.65
Startup_472,Gaming,UK,2019,IPO,95.06,460,425.4,93.98,1.42
Startup_473,FoodTech,Singapore,2020,Seed,68.62,1700,98.57,47.96,0.51
Startup_474,Gaming,Singapore,2021,Series C,1401.47,4116,253.61,53.19,2.17
Startup_475,FoodTech,Singapore,2016,IPO,71.94,3810,119.53,98.73,0.8
Startup_476,Fintech,Germany,2011,Series A,1448.03,2811,4.95,95.42,1.94
Startup_477,EdTech,Canada,2010,Seed,962.29,383,694.47,48.2,2.59
Startup_478,Logistics,Germany,2020,Seed,778.24,3843,391.59,68.35,1.9
Startup_479,HealthTech,Australia,2023,Seed,218.08,1612,24.95,34.25,0.44
Startup_480,AI,USA,2015,Series C,1059.97,2049,162.28,68.98,1.73
Startup_481,Logistics,Israel,2013,IPO,1455.17,2078,76.03,68.9,1.95
Startup_482,E-commerce,UK,2020,Series B,671.19,2361,694.65,21.83,2.17
Startup_483,Fintech,Germany,2018,Seed,1042.01,2671,670.65,94.74,2.86
Startup_484,Robotics,UK,2018,Seed,1028.04,701,398.24,63.7,2.14
Startup_485,PropTech,India,2021,Seed,1304.67,791,456.92,7.89,2.26
Startup_486,Robotics,Germany,2016,Series C,1397.11,1961,551.93,69.27,2.85
Startup_487,PropTech,Netherlands,2016,Series A,331.36,3710,527.45,42.42,1.6
Startup_488,Gaming,Israel,2021,Series A,980.34,155,86.17,67.5,1.49
Startup_489,Fintech,USA,2023,Seed,1499.13,1900,39.52,97.83,2.07
Startup_490,Gaming,UK,2010,IPO,616.29,1610,696.73,79.33,2.41
Startup_491,EdTech,Singapore,2011,Seed,854.85,4410,591.02,88.46,2.48
Startup_492,Cybersecurity,France,2023,Series D,612.17,3666,262.3,68.42,1.48
Startup_493,PropTech,USA,2020,IPO,1213.69,4185,610.07,80.79,2.84
Startup_494,E-commerce,France,2023,IPO,659.02,3060,654.45,16.42,2.05
Startup_495,ClimateTech,Australia,2022,Series A,821.29,1482,5.6,35.84,1.01
Startup_496,HealthTech,Netherlands,2011,IPO,556.03,2210,317.54,71.07,1.55
Startup_497,Blockchain,Germany,2011,Series B,588.95,2317,359.51,27.57,1.45
Startup_498,InsurTech,France,2020,Series A,566.15,3005,182.59,11.95,0.99
Startup_499,Gaming,USA,2013,Series C,909.14,882,534.9,63.85,2.3
Startup_500,HealthTech,India,2013,Series D,700.61,2411,304.45,87.02,1.74
